Prov. Code;Prov. Category;Prov. Type;Conc. Rel.;Descr. UI;Descr. Name;PH count;#Parent Ds;PHs;#Descendant Ds;MeSH Categories;year
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049895;Ostrea;1;1;Oysters;0;B;2006
3.2: Subdivision~3.3: Submersion;3: New PI concept;2: Subdivision~3: Submersion;-;D049896;Crassostrea;2;1;Mollusca~Oysters;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049897;Pectinidae;1;1;Mollusca;1;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049910;Pecten;1;1;Mollusca;0;B;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D049911;Pinctada;1;1;Ostreidae;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049912;Growth Hormone-Secreting Pituitary Adenoma;1;2;Pituitary Neoplasms;0;C;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049913;ACTH-Secreting Pituitary Adenoma;1;2;Pituitary Neoplasms;1;C;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D049914;DNA Repair-Deficiency Disorders;1;1;DNA Repair;11;C;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049915;Ipomoea nil;1;1;Ipomoea;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049916;Polyplacophora;1;1;Mollusca;0;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049917;Dipsacaceae;0;1;;0;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049918;Salacia;0;1;;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049919;Erigeron;1;1;Asteraceae;0;B;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D049920;Ralstonia pickettii;1;1;Ralstonia;0;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049921;Cupriavidus;0;1;;1;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049930;Chrysopogon;0;1;;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049931;Sesbania;1;1;Fabaceae;0;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049932;Nijmegen Breakage Syndrome;0;1;;0;C;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049933;Aminocoumarins;1;1;Coumarins;1;D;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049934;Isocoumarins;1;1;Coumarins;1;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049935;Hernandiaceae;0;1;;0;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049936;Anthocerotophyta;0;1;;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049950;Hyperparathyroidism, Primary;1;1;Hyperparathyroidism;0;C;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D049951;X Chromosome Inactivation;1;1;Dosage Compensation (Genetics);0;G;2006
1.2: Subdivision;1: Old concept;2: Subdivision;REL;D049970;Graves Ophthalmopathy;1;3;Graves' Disease;0;C;2006
3.4: Overtopping;3: New PI concept;4: Overtopping;-;D049971;Thiazides;1;1;Benzothiadiazines;10;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D049990;Membrane Transport Modulators;1;1;Membrane Transport Proteins;25;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049992;Sodium Chloride Symporters;0;1;;1;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049993;Sodium Chloride Symporter Inhibitors;0;2;;0;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D049994;Sodium Potassium Chloride Symporter Inhibitors;1;2;Sodium-Potassium-Chloride Symporters;0;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050010;Hyperthyroxinemia, Familial Dysalbuminemic;2;2;Serum Albumin~Thyroxine;0;C;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050030;Andersen Syndrome;0;1;;0;C;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050031;Hashimoto Disease;1;1;Thyroiditis, Autoimmune;0;C;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050032;Postpartum Thyroiditis;1;2;Thyroiditis;0;C;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050033;Thyroid Dysgenesis;1;2;Thyroid Gland;2;C;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050034;Antidiuretic Agents;1;1;Diuretics;0;D;2006
1.2: Subdivision;1: Old concept;2: Subdivision;REL;D050035;Sexual Infantilism;1;2;Hypogonadism;0;C;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050050;Protein Carbonylation;0;2;;0;G;2006
3.5: Detachment~3.2: Subdivision;3: New PI concept;5: Detachment~2: Subdivision;-;D050051;Transient Receptor Potential Channels;2;1;Calcium Channels~Ion Channels;6;D;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050052;TRPC Cation Channels;1;1;Ion Channels;1;D;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050053;TRPM Cation Channels;1;1;Ion Channels;0;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050071;Bone Density Conservation Agents;0;1;;0;D;2006
1.5: Detachment;1: Old concept;5: Detachment;REL;D050072;White Heifer Disease;1;1;Freemartinism;0;C;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050090;Ovotesticular Disorders of Sex Development;1;1;Hermaphroditism;0;C;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050091;Dendrimers;1;3;Polymers;0;D~E~J;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050110;Bariatric Surgery;2;2;Gastroenterostomy~Obesity;5;E;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050111;Imino Sugars;0;2;;3;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050112;Imino Pyranoses;0;2;;1;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050113;Imino Furanoses;0;2;;0;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050130;Oncolytic Virotherapy;0;1;;0;E;2006
1.5: Detachment;1: Old concept;5: Detachment;NRW;D050150;Chalones;1;1;Growth Inhibitors;0;D;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050151;Subcutaneous Fat;1;1;Adipose Tissue;1;A;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050152;Intra-Abdominal Fat;1;1;Adipose Tissue;0;A;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050153;Abdominal Fat;1;1;Adipose Tissue;2;A;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050154;Adiposity;1;1;Obesity;0;E~G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050155;Lipogenesis;1;2;Fatty Acids;0;G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050156;Adipogenesis;1;1;Adipose Tissue;0;G;2006
1.4: Overtopping;1: Old concept;4: Overtopping;BRD;D050171;Dyslipidemias;1;1;Hyperlipidemia;19;C;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050172;Genes, X-Linked;0;2;;0;G;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050173;Genes, Y-Linked;0;2;;0;G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050174;Genetic Diseases, Y-Linked;1;1;Y Chromosome;0;C;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050175;Pansporablastina;0;1;;5;B;2006
3.4: Overtopping;3: New PI concept;4: Overtopping;-;D050177;Overweight;1;1;Obesity;6;C~E~G;2006
1.2: Subdivision;1: Old concept;2: Subdivision;REL;D050178;Monoglycerides;1;1;Glycerides;0;D;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050197;Atherosclerosis;1;1;Arteriosclerosis;1;C;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050198;Phenoxypropanolamines;1;1;Propanol;22;D;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050199;Podocytes;1;3;Kidney Glomerulus;0;A;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050216;Metabolic Detoxication, Phase I;0;1;;0;G;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050217;Metabolic Detoxication, Phase II;0;1;;0;G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050218;Body Fat Distribution;1;2;Adipose Tissue;1;E~G;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050219;Amblyospora;1;1;Microsporidia;0;B;2006
3.1: Succession~3.3: Submersion;3: New PI concept;1: Succession~3: Submersion;-;D050220;Glugea;2;1;Microsporidia~Protozoa;0;B;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050256;Antimitotic Agents;1;2;Antineoplastic Agents;1;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050257;Tubulin Modulators;1;1;Tubulin;0;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050258;Mitosis Modulators;1;1;Mitosis;3;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050259;Genes, Mitochondrial;0;2;;0;G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050260;Carbohydrate Metabolism;1;2;Carbohydrates;8;G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050261;Glycogenolysis;1;1;Glycogen;0;G;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050262;Loma;1;1;Microsporidia;0;B;2006
3.1: Succession;3: New PI concept;1: Succession;-;D050263;Thelohania;1;1;Protozoa;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050276;Hand Bones;1;1;Bones of Upper Extremity;11;A;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050277;Toe Phalanges;1;1;Toes;0;A;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050278;Finger Phalanges;1;1;Fingers;0;A;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050279;Metacarpal Bones;1;1;Metacarpus;0;A;2006
1.2: Subdivision;1: Old concept;2: Subdivision;REL;D050280;Arm Bones;1;1;Bones of Upper Extremity;5;A;2006
3.4: Overtopping~3.1: Succession;3: New PI concept;4: Overtopping~1: Succession;-;D050281;Bones of Lower Extremity;2;1;Leg Bones~specific bones of leg;18;A;2006
3.1: Succession;3: New PI concept;1: Succession;-;D050296;Microbial Viability;1;1;organism;0;G;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050298;Mesomycetozoea;0;1;;1;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050299;Fibrin Modulating Agents;0;1;;2;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050316;Medical Order Entry Systems;0;2;;0;L~N;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050336;Mulibrey Nanism;1;1;Dwarfism;0;C;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050337;Trimethyl Ammonium Compounds;1;1;Quaternary Ammonium Compounds;24;D;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050338;Phenylammonium Compounds;1;1;Quaternary Ammonium Compounds;3;D;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050339;Benzylammonium Compounds;1;1;Quaternary Ammonium Compounds;6;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050356;Lipid Metabolism;1;1;Lipids;4;G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050376;Bone-Patellar Tendon-Bone Grafting;2;2;Bone Transplantation~Tendons, Para-Articular;0;E;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050377;Cold Ischemia;1;2;Ischemia;0;E;2006
1.3: Submersion;1: Old concept;3: Submersion;NRW;D050378;T-Lymphocytes, Regulatory;1;2;T-Lymphocytes;0;A;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050379;Arteriolosclerosis;1;1;Arteriosclerosis;0;C;2006
1.5: Detachment;1: Old concept;5: Detachment;NRW;D050380;Monckeberg Medial Calcific Sclerosis;1;1;Arteriosclerosis;0;C;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050396;TRPP Cation Channels;1;2;Polycystic Kidney Diseases;0;D;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050397;Radiotherapy, Intensity-Modulated;1;1;Radiotherapy, Conformal;0;E~L;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050398;Adamantinoma;1;1;Ameloblastoma;0;C;2006
1.2: Subdivision;1: Old concept;2: Subdivision;REL;D050416;Glucagon-Secreting Cells;1;2;Islets of Langerhans;0;A;2006
1.2: Subdivision;1: Old concept;2: Subdivision;REL;D050417;Insulin-Secreting Cells;1;2;Islets of Langerhans;0;A;2006
3.5: Detachment~3.3: Submersion;3: New PI concept;5: Detachment~3: Submersion;-;D050418;Pancreatic Polypeptide-Secreting Cells;3;2;Pancreas~Pancreatic Polypeptide~Peptides;0;A;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050436;Regulatory Elements, Transcriptional;0;1;;11;G;2006
1.1: Succession;1: Old concept;1: Succession;NRW;D050437;Genes, Developmental;1;1;Genes, Structural;1;G;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050438;Genes, Immunoglobulin Heavy Chain;1;1;Genes, Immunoglobulin;2;G;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050439;Genes, Immunoglobulin Light Chain;1;1;Genes, Immunoglobulin;0;G;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050440;Immunoglobulin Subunits;0;1;;14;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050441;VDJ Exons;0;2;;0;G;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050456;Fomites;0;1;;0;N;2006
3.5: Detachment~3.2: Subdivision;3: New PI concept;5: Detachment~2: Subdivision;-;D050476;Bowman Capsule;2;1;Kidney Glomerulus~Kidney Tubules;0;A;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050477;Urofollitropin;1;1;Menotropins;0;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050479;Neurotransmitter Transport Proteins;0;1;;21;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050480;Plasma Membrane Neurotransmitter Transport Proteins;0;1;;12;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050481;Vesicular Neurotransmitter Transport Proteins;0;2;;7;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050482;Catecholamine Plasma Membrane Transport Proteins;1;1;Membrane Transport Proteins;2;D;2006
2.5: Detachment~2.3: Submersion;2: Old SRC;5: Detachment~3: Submersion;-;D050483;Dopamine Plasma Membrane Transport Proteins;3;3;Membrane Glycoproteins~Nerve Tissue Proteins~Membrane Transport Proteins;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050484;Norepinephrine Plasma Membrane Transport Proteins;1;3;Symporters;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050485;GABA Plasma Membrane Transport Proteins;1;2;Membrane Transport Proteins;0;D;2006
2.5: Detachment~2.3: Submersion;2: Old SRC;5: Detachment~3: Submersion;-;D050486;Serotonin Plasma Membrane Transport Proteins;3;3;Membrane Glycoproteins~Nerve Tissue Proteins~Membrane Transport Proteins;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050487;Glycine Plasma Membrane Transport Proteins;1;3;Amino Acid Transport Systems, Neutral;0;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050488;Hallux Varus;0;1;;0;C;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050489;Bunion, Tailor's;1;1;Hallux Valgus;0;C;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050490;Oncogene Protein tpr-met;1;1;Oncogene Proteins, Fusion;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050491;Glutamate Plasma Membrane Transport Proteins;2;3;Amino Acid Transport System X-AG~Symporters;5;D;2006
2.5: Detachment~2.3: Submersion;2: Old SRC;5: Detachment~3: Submersion;-;D050492;Vesicular Biogenic Amine Transport Proteins;2;1;Membrane Glycoproteins~Membrane Transport Proteins;2;D;2006
2.5: Detachment~2.3: Submersion;2: Old SRC;5: Detachment~3: Submersion;-;D050493;Vesicular Monoamine Transport Proteins;2;1;Membrane Glycoproteins~Membrane Transport Proteins;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050494;Vesicular Acetylcholine Transport Proteins;1;1;Membrane Transport Proteins;0;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050495;Vesicular Inhibitory Amino Acid Transport Proteins;0;1;;0;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050496;Vesicular Glutamate Transport Proteins;0;1;;2;D;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050497;Stillbirth;1;2;Pregnancy Outcome;0;C~G;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050498;Live Birth;1;1;Pregnancy Outcome;0;G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050499;Adrenarche;2;1;Adrenal Glands~Puberty, Precocious;0;G;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050500;Pancreatitis, Chronic;1;1;Pancreatitis;1;C;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050501;Nostoc commune;1;2;Cyanobacteria;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D050502;Nostoc muscorum;1;2;Cyanobacteria;0;B;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050503;Indoleamine-Pyrrole 2,3,-Dioxygenase;1;1;Dioxygenases;0;D;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D050504;Oncolytic Viruses;1;1;Viruses;0;B;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050505;Mutant Proteins;1;1;Mutation;6;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050506;Mutant Chimeric Proteins;0;1;;5;D;2006
3.5: Detachment~3.3: Submersion;3: New PI concept;5: Detachment~3: Submersion;-;D050507;Subcutaneous Fat, Abdominal;2;2;Abdomen~Adipose Tissue;0;A;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050527;Mesangial Cells;1;2;Kidney Glomerulus;1;A;2006
3.5: Detachment~3.2: Subdivision;3: New PI concept;5: Detachment~2: Subdivision;-;D050528;Diet, Carbohydrate-Restricted;2;2;Diet Therapy~Dietary Carbohydrates;2;E~G;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050533;Glomerular Basement Membrane;2;4;Basement Membrane~Kidney Glomerulus;0;A;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050536;Glycerol-3-Phosphate Dehydrogenase (NAD+);1;2;Glycerolphosphate Dehydrogenase;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050537;Hydroxypyruvate Reductase;1;1;Alcohol Oxidoreductases;0;D;2006
2.5: Detachment;2: Old SRC;5: Detachment;-;D050538;Malate Dehydrogenase (NADP+);1;1;Malate Dehydrogenase;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050539;3-Isopropylmalate Dehydrogenase;1;1;Alcohol Oxidoreductases;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050540;Ketol-Acid Reductoisomerase;1;1;Alcohol Oxidoreductases;0;D;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D050541;Bowman Membrane;1;1;Cornea;0;A;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050542;D-Xylulose Reductase;1;2;Sugar Alcohol Dehydrogenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050543;Phosphoglycerate Dehydrogenase;1;1;Carbohydrate Dehydrogenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050544;L-Gulonolactone Oxidase;1;1;Sugar Alcohol Dehydrogenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050545;Choline Dehydrogenase;1;1;Alcohol Oxidoreductases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050547;Plastoquinol-Plastocyanin Reductase;1;2;Oxidoreductases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050548;Catechol 1,2-Dioxygenase;1;1;Dioxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050556;Fatty Acid-Binding Proteins;1;1;Carrier Proteins;3;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050557;Catechol 2,3-Dioxygenase;1;1;Dioxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050558;Cysteine Dioxygenase;1;1;Dioxygenases;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050559;beta-Carotene 15,15'-Monooxygenase;1;1;Oxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050560;Homogentisate 1,2-Dioxygenase;1;1;Dioxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050561;3-Hydroxyanthranilate 3,4-Dioxygenase;1;1;Dioxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050562;Inositol Oxygenase;1;2;Oxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050563;gamma-Butyrobetaine Dioxygenase;1;1;Mixed Function Oxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050564;Trans-Cinnamate 4-Monooxygenase;2;2;Cytochrome P-450 Enzyme System~Mixed Function Oxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050565;Benzoate 4-Monooxygenase;1;1;Mixed Function Oxygenases;0;D;2006
3.5: Detachment~3.2: Subdivision;3: New PI concept;5: Detachment~2: Subdivision;-;D050576;Membrane Fusion Proteins;2;1;Membrane Fusion~Membrane Proteins;16;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050577;Complement C3-C5 Convertases;2;1;Complement C3~Complement C5;7;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050578;Complement C3-C5 Convertases, Alternative Pathway;3;1;Complement C3~Complement C5~Esterases;2;D;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D050579;Complement C3-C5 Convertases, Classical Pathway;2;1;Complement C3~Complement C5;2;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050580;Excitatory Amino Acid Transporter 3;2;1;Amino Acid Transport System X-AG~Symporters;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050581;Excitatory Amino Acid Transporter 4;2;1;Amino Acid Transport System X-AG~Symporters;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050582;Excitatory Amino Acid Transporter 5;2;1;Amino Acid Transport System X-AG~Symporters;0;D;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D050596;Oncogene Fusion;0;1;;0;G;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050598;Vesicular Glutamate Transport Protein 1;1;1;Membrane Transport Proteins;0;D;2006
2.3: Submersion;2: Old SRC;3: Submersion;-;D050599;Vesicular Glutamate Transport Protein 2;1;1;Membrane Transport Proteins;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050600;SNARE Proteins;1;2;Vesicular Transport Proteins;11;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050601;Kynurenine 3-Monooxygenase;1;1;Mixed Function Oxygenases;0;D;2006
2.2: Subdivision;2: Old SRC;2: Subdivision;-;D050602;Linoleoyl-CoA Desaturase;1;1;Fatty Acid Desaturases;0;D;2006
